Frame, Time (ms), Delta (ms)
    1, 0.000, 0.000
    2, 6.778, 6.778
    3,13.926, 7.148
    4,20.661, 6.735
    5,32.685,12.024
    6,39.277, 6.592
    7,53.258,13.981
    8,66.469,13.211
    9,80.878,14.409
   10,95.808,14.930
   11,108.850,13.042
   12,123.295,14.445
   13,135.595,12.300
   14,149.840,14.245
   15,164.117,14.277
   16,178.199,14.082
   17,192.031,13.832
   18,208.869,16.838
   19,220.144,11.275
   20,233.128,12.984
   21,247.059,13.931
   22,260.752,13.693
   23,275.436,14.684
   24,288.946,13.510
   25,303.151,14.205
   26,310.531, 7.380
   27,323.423,12.892
   28,337.342,13.919
   29,345.146, 7.804
   30,359.078,13.932
   31,365.977, 6.899
   32,379.492,13.515
   33,386.248, 6.756
   34,399.583,13.335
   35,406.927, 7.344
   36,420.349,13.422
   37,428.547, 8.198
   38,441.247,12.700
   39,454.932,13.685
   40,468.907,13.975
   41,483.122,14.215
   42,496.315,13.193
   43,510.533,14.218
   44,523.680,13.147
   45,537.866,14.186
   46,551.422,13.556
   47,565.168,13.746
   48,579.126,13.958
   49,592.952,13.826
   50,607.969,15.017
   51,614.397, 6.428
   52,628.111,13.714
   53,634.970, 6.859
   54,648.899,13.929
   55,655.682, 6.783
   56,669.682,14.000
   57,683.752,14.070
   58,696.967,13.215
   59,711.182,14.215
   60,724.911,13.729
   61,739.071,14.160
   62,752.933,13.862
   63,766.719,13.786
   64,780.094,13.375
   65,794.936,14.842
   66,808.451,13.515
   67,822.908,14.457
   68,835.987,13.079
   69,849.384,13.397
   70,863.815,14.431
   71,877.530,13.715
   72,892.147,14.617
   73,898.153, 6.006
   74,912.852,14.699
   75,926.687,13.835
   76,933.758, 7.071
   77,947.431,13.673
   78,961.002,13.571
   79,974.859,13.857
   80,989.166,14.307
   81,1002.791,13.625
   82,1016.472,13.681
   83,1030.978,14.506
   84,1044.453,13.475
   85,1058.041,13.588
   86,1072.896,14.855
   87,1086.450,13.554
   88,1100.947,14.497
   89,1107.430, 6.483
   90,1121.452,14.022
   91,1135.195,13.743
   92,1142.093, 6.898
   93,1155.794,13.701
   94,1169.553,13.759
   95,1183.999,14.446
